state,academic_achievement_weight,academic_growth_weight,school_quality_success_weight,ell_progress_weight,status,notes
AL,52.5,29.3,16.8,1.4,Completed,Simulated weights for pipeline validation
AK,57.0,17.3,9.9,15.8,Completed,Simulated weights for pipeline validation
AZ,46.2,28.0,15.2,10.6,Completed,Simulated weights for pipeline validation
AR,59.2,15.3,19.6,5.9,Completed,Simulated weights for pipeline validation
CA,61.6,18.2,10.2,10.0,Completed,Simulated weights for pipeline validation
CO,48.7,19.6,14.3,17.4,Completed,Simulated weights for pipeline validation
CT,53.6,19.4,15.3,11.7,Completed,Simulated weights for pipeline validation
DE,47.8,19.4,12.4,20.4,Completed,Simulated weights for pipeline validation
FL,54.1,26.8,10.4,8.7,Completed,Simulated weights for pipeline validation
GA,55.3,23.9,8.6,12.2,Completed,Simulated weights for pipeline validation
HI,57.2,17.6,8.8,16.4,Completed,Simulated weights for pipeline validation
ID,47.8,29.5,17.7,5.0,Completed,Simulated weights for pipeline validation
IL,51.1,16.5,16.2,16.2,Completed,Simulated weights for pipeline validation
IN,53.8,16.8,13.9,15.5,Completed,Simulated weights for pipeline validation
IA,45.7,28.6,11.1,14.6,Completed,Simulated weights for pipeline validation
KS,58.3,19.7,14.2,7.8,Completed,Simulated weights for pipeline validation
KY,55.9,17.8,19.6,6.7,Completed,Simulated weights for pipeline validation
LA,47.2,29.1,18.7,5.0,Completed,Simulated weights for pipeline validation
ME,57.0,28.8,9.1,5.1,Completed,Simulated weights for pipeline validation
MD,48.9,15.7,11.9,23.5,Completed,Simulated weights for pipeline validation
MA,52.8,19.1,17.9,10.2,Completed,Simulated weights for pipeline validation
MI,52.1,19.2,14.5,14.2,Completed,Simulated weights for pipeline validation
MN,47.8,27.0,8.9,16.3,Completed,Simulated weights for pipeline validation
MS,58.0,26.6,10.4,5.0,Completed,Simulated weights for pipeline validation
MO,45.1,27.2,16.5,11.2,Completed,Simulated weights for pipeline validation
MT,59.6,26.6,8.9,4.9,Completed,Simulated weights for pipeline validation
NE,52.2,16.7,18.4,12.7,Completed,Simulated weights for pipeline validation
NV,57.5,20.0,8.8,13.7,Completed,Simulated weights for pipeline validation
NH,51.2,19.9,16.8,12.1,Completed,Simulated weights for pipeline validation
NJ,57.8,28.3,13.7,0.2,Completed,Simulated weights for pipeline validation
NM,47.4,25.7,17.1,9.8,Completed,Simulated weights for pipeline validation
NY,56.2,26.6,13.9,3.3,Completed,Simulated weights for pipeline validation
NC,55.5,21.4,8.3,14.8,Completed,Simulated weights for pipeline validation
ND,47.2,15.5,15.6,21.7,Completed,Simulated weights for pipeline validation
OH,51.3,22.6,18.9,7.2,Completed,Simulated weights for pipeline validation
OK,50.0,21.2,17.1,11.7,Completed,Simulated weights for pipeline validation
OR,49.6,16.2,11.5,22.7,Completed,Simulated weights for pipeline validation
PA,48.2,28.9,17.7,5.2,Completed,Simulated weights for pipeline validation
RI,49.300000000000004,28.1,17.6,5.0,Completed,Simulated weights for pipeline validation
SC,48.7,28.4,14.5,8.4,Completed,Simulated weights for pipeline validation
SD,54.800000000000004,28.4,11.8,5.0,Completed,Simulated weights for pipeline validation
TN,47.2,18.4,13.1,21.3,Completed,Simulated weights for pipeline validation
TX,61.4,27.9,8.1,2.6,Completed,Simulated weights for pipeline validation
UT,55.2,21.3,10.7,12.8,Completed,Simulated weights for pipeline validation
VT,47.4,20.1,19.3,13.2,Completed,Simulated weights for pipeline validation
VA,51.5,22.8,16.4,9.3,Completed,Simulated weights for pipeline validation
WA,45.9,29.6,19.5,5.0,Completed,Simulated weights for pipeline validation
WV,50.0,22.5,11.6,15.9,Completed,Simulated weights for pipeline validation
WI,50.7,15.6,15.3,18.4,Completed,Simulated weights for pipeline validation
WY,55.1,15.8,11.3,17.8,Completed,Simulated weights for pipeline validation
DC,63.2,18.6,9.7,8.5,Completed,Simulated weights for pipeline validation
