year,state_code,total_events,edu_events,highway_events
2010,US,561368,277,0
2010,US00,1,0,0
2010,US08,221,0,0
2010,US49,15,0,0
2010,USAK,81968,21,0
2010,USAL,85677,80,0
2010,USAR,44812,53,0
2010,USAZ,144117,64,0
2010,USCA,524501,200,0
2010,USCO,91243,64,0
2010,USCT,81139,80,0
2010,USDC,708622,711,0
2010,USDE,37374,61,0
2010,USFL,260057,164,0
2010,USGA,92605,80,0
2010,USHI,63038,120,0
2010,USIA,76864,54,0
2010,USID,73817,43,0
2010,USIL,248674,83,0
2010,USIN,106967,101,0
2010,USKS,59517,42,0
2010,USKY,63006,36,0
2010,USLA,99557,79,0
2010,USMA,212265,198,0
2010,USMD,89340,60,0
2010,USME,54295,55,0
2010,USMH,41,0,0
2010,USMI,123786,55,0
2010,USMN,101423,91,0
2010,USMO,68725,33,0
2010,USMS,51494,63,0
2010,USMT,45328,6,0
2010,USNC,109963,55,0
2010,USND,27520,25,0
2010,USNE,35402,17,0
2010,USNH,37033,29,0
2010,USNJ,105192,143,0
2010,USNM,46261,65,0
2010,USNV,72910,45,0
2010,USNY,498885,406,0
2010,USOH,136217,62,0
2010,USOK,88738,86,0
2010,USOR,74019,41,0
2010,USPA,190268,88,0
2010,USPR,3305,7,0
2010,USRI,37011,74,0
2010,USSC,85287,71,0
2010,USSD,28468,47,0
2010,USTN,83131,99,0
2010,USTX,316766,111,0
2010,USUT,67251,31,0
2010,USVA,151204,129,0
2010,USVT,37295,39,0
2010,USWA,98584,55,0
2010,USWI,84362,13,0
2010,USWV,66751,112,0
2010,USWY,30901,52,0
2011,US,812011,454,0
2011,US08,81,0,0
2011,US49,12,0,0
2011,USAK,102194,40,0
2011,USAL,138215,112,0
2011,USAR,82475,78,0
2011,USAZ,257554,93,0
2011,USCA,697028,275,0
2011,USCO,140459,79,0
2011,USCT,118075,124,0
2011,USDC,903757,1018,0
2011,USDE,61245,56,0
2011,USFL,323013,191,0
2011,USGA,118141,72,0
2011,USHI,92375,185,0
2011,USIA,172175,115,0
2011,USID,116831,124,0
2011,USIL,363551,159,0
2011,USIN,179817,140,0
2011,USKS,108533,63,0
2011,USKY,114280,82,0
2011,USLA,119355,124,0
2011,USMA,304729,241,0
2011,USMD,141961,110,0
2011,USME,111619,61,0
2011,USMH,18,0,0
2011,USMI,188312,103,0
2011,USMN,154454,127,0
2011,USMO,132488,77,0
2011,USMS,93969,63,0
2011,USMT,88605,53,0
2011,USNC,198377,55,0
2011,USND,54197,41,0
2011,USNE,61308,13,0
2011,USNH,84603,45,0
2011,USNJ,175600,107,0
2011,USNM,71147,134,0
2011,USNV,124233,57,0
2011,USNY,724157,625,0
2011,USOH,247120,75,0
2011,USOK,167176,110,0
2011,USOR,117742,48,0
2011,USPA,280193,237,0
2011,USPR,5567,2,0
2011,USRI,56089,71,0
2011,USSC,149313,126,0
2011,USSD,53550,87,0
2011,USTN,141477,117,0
2011,USTX,478350,189,0
2011,USUT,99431,66,0
2011,USVA,235414,145,0
2011,USVT,73998,56,0
2011,USWA,143642,110,0
2011,USWI,165754,49,0
2011,USWV,90514,94,0
2011,USWY,50431,69,0
2012,US,760426,509,0
2012,US00,8,0,0
2012,US08,12822,4,0
2012,US26,854,0,0
2012,US49,6987,0,0
2012,USAK,128299,46,0
2012,USAL,156032,90,0
2012,USAR,92022,92,0
2012,USAZ,238977,96,0
2012,USCA,787109,356,0
2012,USCO,201004,44,0
2012,USCT,204720,179,0
2012,USDC,924195,812,0
2012,USDE,74899,136,0
2012,USFL,535532,332,0
2012,USGA,196600,255,0
2012,USHI,90619,168,0
2012,USIA,183264,119,0
2012,USID,209055,297,0
2012,USIL,477791,129,0
2012,USIN,196326,167,0
2012,USKS,137600,86,0
2012,USKY,131766,84,0
2012,USLA,157795,207,0
2012,USMA,469213,267,0
2012,USMD,172410,89,0
2012,USME,163378,167,0
2012,USMH,37,0,0
2012,USMI,267285,81,0
2012,USMN,210489,175,0
2012,USMO,168553,78,0
2012,USMS,101030,127,0
2012,USMT,107739,23,0
2012,USNC,219211,115,0
2012,USND,73049,15,0
2012,USNE,91763,37,0
2012,USNH,93626,86,0
2012,USNJ,194860,172,0
2012,USNM,82696,118,0
2012,USNV,131091,50,0
2012,USNY,739920,731,0
2012,USOH,345961,204,0
2012,USOK,179078,180,0
2012,USOR,145181,33,0
2012,USPA,329600,286,0
2012,USPR,6723,5,0
2012,USRI,62604,61,0
2012,USSC,187591,115,0
2012,USSD,64652,76,0
2012,USTN,155235,123,0
2012,USTX,609056,231,0
2012,USUT,115223,42,0
2012,USVA,275456,180,0
2012,USVT,70476,90,0
2012,USWA,169120,50,0
2012,USWI,196238,70,0
2012,USWV,89491,150,0
2012,USWY,64535,53,0
2013,US,792267,405,0
2013,US08,42832,9,0
2013,US26,928,0,0
2013,US49,10189,0,0
2013,USAK,130496,59,0
2013,USAL,152497,140,0
2013,USAR,98899,58,0
2013,USAZ,199624,48,0
2013,USCA,841464,481,0
2013,USCO,202059,72,0
2013,USCT,215052,251,0
2013,USDC,1097653,919,0
2013,USDE,70286,92,0
2013,USFL,517638,321,0
2013,USGA,246282,207,0
2013,USHI,101254,189,0
2013,USIA,154772,95,0
2013,USID,207343,284,0
2013,USIL,409564,166,0
2013,USIN,206344,338,0
2013,USKS,126463,168,0
2013,USKY,136326,75,0
2013,USLA,151362,163,0
2013,USMA,397991,238,0
2013,USMD,185847,143,0
2013,USME,160754,127,0
2013,USMH,19,0,0
2013,USMI,281378,133,0
2013,USMN,190522,162,0
2013,USMO,144702,92,0
2013,USMS,109424,97,0
2013,USMT,94283,22,0
2013,USNC,168832,90,0
2013,USND,62002,12,0
2013,USNE,87764,64,0
2013,USNH,82128,59,0
2013,USNJ,124533,44,0
2013,USNM,87573,217,0
2013,USNV,120383,28,0
2013,USNY,729269,569,0
2013,USOH,309955,125,0
2013,USOK,167221,167,0
2013,USOR,146487,47,0
2013,USPA,369231,428,0
2013,USPR,5002,2,0
2013,USRI,54135,61,0
2013,USSC,134946,83,0
2013,USSD,49711,22,0
2013,USTN,143107,145,0
2013,USTX,610795,212,0
2013,USUT,117817,66,0
2013,USVA,255901,138,0
2013,USVT,78453,58,0
2013,USWA,114963,38,0
2013,USWI,153824,36,0
2013,USWV,83364,68,0
2013,USWY,65076,207,0
2014,US,1052366,676,0
2014,USAK,197020,153,0
2014,USAL,195187,223,0
2014,USAR,143360,100,0
2014,USAZ,264302,241,0
2014,USCA,1183204,663,0
2014,USCO,297337,100,0
2014,USCT,232035,221,0
2014,USDC,1401161,1505,0
2014,USDE,105358,131,0
2014,USFL,657025,358,0
2014,USGA,311209,245,0
2014,USHI,146971,225,0
2014,USIA,224344,151,0
2014,USID,249738,332,0
2014,USIL,502830,210,0
2014,USIN,278676,353,0
2014,USKS,174410,182,0
2014,USKY,171557,134,0
2014,USLA,215952,370,0
2014,USMA,490873,434,0
2014,USMD,240358,190,0
2014,USME,183500,131,0
2014,USMH,47,0,0
2014,USMI,366123,201,0
2014,USMN,203742,124,0
2014,USMO,272085,127,0
2014,USMS,155373,114,0
2014,USMT,121067,36,0
2014,USNC,281252,90,0
2014,USND,83738,27,0
2014,USNE,110231,55,0
2014,USNH,144305,71,0
2014,USNJ,219139,95,0
2014,USNM,119173,211,0
2014,USNV,152174,77,0
2014,USNY,1027999,1059,0
2014,USOH,403032,164,0
2014,USOK,192296,263,0
2014,USOR,216141,88,0
2014,USPA,472634,509,0
2014,USPR,5789,8,0
2014,USRI,76617,93,0
2014,USSC,215454,170,0
2014,USSD,82430,72,0
2014,USTN,205929,182,0
2014,USTX,836868,194,0
2014,USUT,187118,112,0
2014,USVA,362336,217,0
2014,USVT,116535,100,0
2014,USWA,111774,27,0
2014,USWI,217027,53,0
2014,USWV,98189,85,0
2014,USWY,84376,293,0
2015,US,1245085,1138,0
2015,US00,10,0,0
2015,USAK,200398,95,0
2015,USAL,220883,153,0
2015,USAR,223149,420,0
2015,USAZ,345544,388,0
2015,USCA,1758372,1528,0
2015,USCO,384767,230,0
2015,USCT,234151,346,0
2015,USDC,1683303,3178,0
2015,USDE,115420,221,0
2015,USFL,895140,640,0
2015,USGA,382415,410,0
2015,USHI,177590,258,0
2015,USIA,364540,345,0
2015,USID,124283,191,0
2015,USIL,746480,906,0
2015,USIN,298967,505,0
2015,USKS,205546,271,0
2015,USKY,247264,182,0
2015,USLA,264803,417,0
2015,USMA,571245,786,0
2015,USMD,273161,271,0
2015,USME,205944,195,0
2015,USMH,68,0,0
2015,USMI,404686,335,0
2015,USMN,265162,290,0
2015,USMO,257603,213,0
2015,USMS,168182,220,0
2015,USMT,153935,110,0
2015,USNC,303177,155,0
2015,USND,83124,49,0
2015,USNE,120736,112,0
2015,USNH,172465,145,0
2015,USNJ,289978,409,0
2015,USNM,133006,366,0
2015,USNV,197983,187,0
2015,USNY,1548562,2315,0
2015,USOH,629410,559,0
2015,USOK,183796,349,0
2015,USOR,296120,300,0
2015,USPA,672226,630,0
2015,USPR,13131,9,0
2015,USRI,88102,133,0
2015,USSC,321081,191,0
2015,USSD,82276,176,0
2015,USTN,262740,343,0
2015,USTX,1196428,549,0
2015,USUT,207517,117,0
2015,USVA,378124,345,0
2015,USVT,189114,238,0
2015,USWA,177529,51,0
2015,USWI,313118,145,0
2015,USWV,115215,254,0
2015,USWY,95325,69,0
2016,US,1353928,1196,0
2016,US00,6,0,0
2016,USAK,206048,175,0
2016,USAL,233590,278,0
2016,USAR,215854,292,0
2016,USAZ,442222,246,0
2016,USCA,2046038,1681,0
2016,USCO,445530,287,0
2016,USCT,252358,347,0
2016,USDC,1832422,3703,0
2016,USDE,118440,256,0
2016,USFL,1116301,755,0
2016,USGA,424994,549,0
2016,USHI,218367,231,0
2016,USIA,402811,175,0
2016,USID,151442,107,0
2016,USIL,842608,648,0
2016,USIN,401200,545,0
2016,USKS,245104,223,0
2016,USKY,254160,235,0
2016,USLA,306785,323,0
2016,USMA,640328,748,0
2016,USMD,278077,224,0
2016,USME,223094,186,0
2016,USMH,98,0,0
2016,USMI,506188,659,0
2016,USMN,322165,238,0
2016,USMO,256586,130,0
2016,USMS,164787,239,0
2016,USMT,155109,61,0
2016,USNC,428540,546,0
2016,USND,127395,21,0
2016,USNE,145555,124,0
2016,USNH,198784,121,0
2016,USNJ,329947,233,0
2016,USNM,157666,301,0
2016,USNV,238843,112,0
2016,USNY,1774233,2205,0
2016,USOH,800505,601,0
2016,USOK,210983,422,0
2016,USOR,335969,144,0
2016,USPA,776130,686,0
2016,USPR,19548,17,0
2016,USRI,96075,177,0
2016,USSC,287863,224,0
2016,USSD,99050,182,0
2016,USTN,291258,518,0
2016,USTX,1371382,900,0
2016,USUT,253548,222,0
2016,USVA,473579,510,0
2016,USVT,231028,135,0
