state,waiver_approval_year,is_washington_revocation
AL,2013,0
AK,2013,0
AZ,2012,0
AR,2012,0
CA,9999,0
CO,2012,0
CT,2012,0
DE,2012,0
FL,2012,0
GA,2012,0
HI,2013,0
ID,2013,0
IL,2013,0
IN,2012,0
IA,2013,0
KS,2012,0
KY,2012,0
LA,2012,0
ME,2013,0
MD,2012,0
MA,2012,0
MI,2012,0
MN,2012,0
MS,2013,0
MO,2012,0
MT,9999,0
NE,9999,0
NV,2012,0
NH,2013,0
NJ,2012,0
NM,2012,0
NY,2012,0
NC,2012,0
ND,9999,0
OH,2012,0
OK,2012,0
OR,2012,0
PA,2013,0
RI,2012,0
SC,2013,0
SD,2012,0
TN,2012,0
TX,2013,0
UT,2012,0
VT,9999,0
VA,2012,0
WA,2012,1
WV,2013,0
WI,2012,0
WY,9999,0
DC,2012,0
