model_id,level,subject,subgroup,dependent_var,independent_var,coefficient,std_error,t_stat,p_value,n_obs,r_squared
state_h1_baseline_policy_on_backlash,state,n/a,n/a,backlash,policy_lag1,-0.10487678503733157,0.1148007823202768,-0.9135546197302142,0.36129174841537215,714,0.05191798535902614
state_h1_baseline_backlash_on_correction,state,n/a,n/a,delta_policy,backlash_lag1,0.011202730206217863,0.0182001430201379,0.6155297897287063,0.5384213544021921,714,0.004288029980693331
state_h7b_waiver_x_mass_backlash,state,n/a,n/a,delta_policy,backlash_mass_x_waiver,-0.1274984166758855,0.051472625251322596,-2.4770140643372254,0.01350387877825665,714,0.1716115030685379
state_h7b_waiver_x_media_backlash,state,n/a,n/a,delta_policy,backlash_media_x_waiver,0.0003233879058355196,0.026320907583609103,0.01228635087176492,0.990200956157834,714,0.1594908228290688
state_h2_biennial_legislature_on_amplitude,state,n/a,n/a,amplitude,biennial_legislature,-0.18142212335841498,0.08538167833321823,-2.1248366968189667,0.038668768890918144,51,0.08436768776079384
state_h7b_robustness_no_vam_index,state,n/a,n/a,delta_policy_no_vam,backlash_x_waiver_no_vam,0.02287283457860783,0.03603530286172274,0.6347340735938065,0.525826943230491,714,0.0064615370228482405
state_h7b_robustness_outcome_change_in_exit_exam,state,n/a,n/a,delta_exit_exam,backlash_x_waiver,0.01570702765291724,0.018569061457623492,0.8458708421404222,0.397938488048299,714,0.005874749211361774
state_h7b_robustness_outcome_change_in_af_grading,state,n/a,n/a,delta_af_grading,backlash_x_waiver,0.005752320748511708,0.011375842665776358,0.5056610677130119,0.6132673604456667,714,0.0038929486886445375
state_h7b_robustness_outcome_change_in_third_grade_retention,state,n/a,n/a,delta_third_grade_retention,backlash_x_waiver,-0.005051717370354637,0.014576945478263287,-0.34655527647322343,0.7290384759003365,714,0.0026716626615125305
state_h7b_robustness_outcome_change_in_vam_eval,state,n/a,n/a,delta_vam_eval,backlash_x_waiver,-0.1833334212381816,0.03613285159452784,-5.073870816936759,5.103846734133555e-07,714,0.29723458549491955
district_mth_subgroup_all_model_a,district,math,all,gcs_mn_all,backlash_x_waiver_lag1,-0.064215283730015,0.026294935963817316,-2.4421159959612497,0.014601826344089908,473602,0.8470820066742
district_mth_subgroup_wht_model_a,district,math,wht,gcs_mn_wht,backlash_x_waiver_lag1,-0.07941408288208296,0.03407056041358444,-2.3308710487315434,0.019760638536987507,424144,0.8534158568617252
district_mth_subgroup_blk_model_a,district,math,blk,gcs_mn_blk,backlash_x_waiver_lag1,-0.06786778541843481,0.05153857758953197,-1.3168346623562905,0.18789695710768384,106943,0.8253130950419937
district_mth_subgroup_ecd_model_a,district,math,ecd,gcs_mn_ecd,backlash_x_waiver_lag1,-0.051948750395698504,0.028419688766242235,-1.8279141204883567,0.0675632611484338,373339,0.8272995214390502
district_mth_model_b_newly_constrained,district,math,all,gcs_mn_all,backlash_x_waiver_x_constrained_lag1,-0.05161218723923551,0.014993913479019776,-3.4422092211919075,0.0005770348408886683,473602,0.8471383799253032
district_mth_subgroup_all_placebo,district,math,all,gcs_mn_all,backlash_x_waiver_placebo,-0.03564995997823205,0.037398451972662984,-0.9532469419935077,0.3404670577596973,121512,0.8898273506931246
district_mth_subgroup_wht_placebo,district,math,wht,gcs_mn_wht,backlash_x_waiver_placebo,-0.03800049184753901,0.03587429804881313,-1.0592678857669304,0.2894803964218142,108792,0.8914605760732217
district_mth_subgroup_blk_placebo,district,math,blk,gcs_mn_blk,backlash_x_waiver_placebo,-0.0639751826590321,0.04582122110593707,-1.3961911340407909,0.16266983557836112,26884,0.8758600678716819
district_mth_subgroup_ecd_placebo,district,math,ecd,gcs_mn_ecd,backlash_x_waiver_placebo,-0.057445065647059305,0.04462515483351538,-1.2872799178259797,0.1980002607997009,93944,0.8732614475066329
district_rla_subgroup_all_model_a,district,reading,all,gcs_mn_all,backlash_x_waiver_lag1,-0.02431315787350365,0.025977124255366968,-0.9359449350318468,0.349302004590913,497712,0.8722701194276163
district_rla_subgroup_wht_model_a,district,reading,wht,gcs_mn_wht,backlash_x_waiver_lag1,-0.008689534905811144,0.02622027123419795,-0.3314052256819435,0.7403385778520413,445664,0.8663741047294269
district_rla_subgroup_blk_model_a,district,reading,blk,gcs_mn_blk,backlash_x_waiver_lag1,0.011967125448339319,0.037433384314810275,0.31969125066804616,0.7492029941182472,114194,0.8675504456152628
district_rla_subgroup_ecd_model_a,district,reading,ecd,gcs_mn_ecd,backlash_x_waiver_lag1,-0.01304221341466627,0.025446625092051246,-0.5125321478776478,0.6082789233672496,391961,0.8613860348178699
district_rla_model_b_newly_constrained,district,reading,all,gcs_mn_all,backlash_x_waiver_x_constrained_lag1,-0.035087861433273554,0.007913196791063958,-4.4340943817923,9.248033042252857e-06,497712,0.8722953311820855
district_rla_subgroup_all_placebo,district,reading,all,gcs_mn_all,backlash_x_waiver_placebo,-0.03698083466658057,0.033861674917852934,-1.0921147508590345,0.2747850106613061,123527,0.9036993590405441
district_rla_subgroup_wht_placebo,district,reading,wht,gcs_mn_wht,backlash_x_waiver_placebo,-0.04093652810114584,0.03535996352419317,-1.1577084369201118,0.2469858241613223,109715,0.8973424120832342
district_rla_subgroup_blk_placebo,district,reading,blk,gcs_mn_blk,backlash_x_waiver_placebo,-0.07963216831228857,0.054013432854315126,-1.4743030410059703,0.1404130706369906,26960,0.8980940113847993
district_rla_subgroup_ecd_placebo,district,reading,ecd,gcs_mn_ecd,backlash_x_waiver_placebo,-0.04951921956864157,0.04254256550708573,-1.1639923210647423,0.2444303480810528,95443,0.8900327188104803
